Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-22-EX1-OT1-MBTR_A_HA_H1	 419	 2912	 2172.90	 34.91	 38.62	 37.83	 0.00
HU-22-EX1-OT1-MBTR_A_MP	 3640	 30663	 23167.20	 34.25	 38.43	 37.65	 0.00
HU-22-EX1-OT1-MBTR_A_NA_N1	 929	 8020	 5597.13	 34.97	 38.52	 37.80	 0.00
HU-22-EX1-OT1-MBTR_A_NP	 524	 4038	 3301.43	 29.90	 38.51	 37.50	 0.00
HU-22-EX1-OT1-MBTR_A_NS	 4592	 24610	 19131.40	 30.84	 38.43	 36.96	 0.00
HU-22-EX1-OT1-MBTR_A_PA	 455	 1728	 1346.45	 34.39	 38.69	 37.85	 0.00
HU-22-EX1-OT1-MBTR_A_PB1	 140	 561	 315.57	 35.56	 38.70	 37.89	 0.00
HU-22-EX1-OT1-MBTR_A_PB2	 774	 2211	 1437.50	 35.06	 38.53	 37.87	 0.00
HU-22-EX1-OT2-UNI_A_HA_H1	 461	 4739	 3036.12	 34.31	 38.58	 37.68	 0.00
HU-22-EX1-OT2-UNI_A_MP	 3044	 29452	 21975.50	 33.91	 38.49	 37.70	 0.00
HU-22-EX1-OT2-UNI_A_NA_N1	 736	 6208	 4466.35	 34.54	 38.55	 37.59	 0.00
HU-22-EX1-OT2-UNI_A_NP	 1001	 11190	 9037.57	 29.90	 38.54	 37.60	 0.00
HU-22-EX1-OT2-UNI_A_NS	 2758	 16394	 12519.00	 30.43	 38.40	 36.72	 0.00
HU-22-EX1-OT2-UNI_A_PA	 1272	 10336	 7477.32	 34.33	 38.63	 37.92	 0.00
HU-22-EX1-OT2-UNI_A_PB1	 87	 390	 247.57	 34.96	 38.66	 37.68	 0.00
HU-22-EX1-OT2-UNI_A_PB2	 1107	 4809	 3891.57	 34.56	 38.52	 37.86	 0.00
HU-22-EX1-OT3-MBTA_A_HA_H1	 89	 2644	 1493.75	 32.79	 38.44	 37.04	 0.00
HU-22-EX1-OT3-MBTA_A_MP	 1469	 15852	 11653.00	 32.62	 38.24	 37.17	 0.00
HU-22-EX1-OT3-MBTA_A_NA_N1	 128	 1750	 1230.48	 34.23	 38.46	 37.13	 0.00
HU-22-EX1-OT3-MBTA_A_NP	 695	 8916	 7108.44	 28.75	 38.27	 36.77	 0.00
HU-22-EX1-OT3-MBTA_A_NS	 872	 5488	 4142.51	 31.45	 38.02	 36.39	 0.00
HU-22-EX1-OT3-MBTA_A_PA	 896	 9039	 6400.94	 32.25	 38.38	 37.12	 0.00
HU-22-EX1-OT3-MBTA_A_PB1	 5	 99	 44.57	 31.81	 38.93	 37.18	 55.60
HU-22-EX1-OT3-MBTA_A_PB2	 501	 3597	 2749.02	 33.92	 38.21	 37.13	 0.00
HU-23-EX1-OT1-MBTR_A_HA_H1	 540	 4745	 3624.23	 35.05	 38.64	 37.92	 0.00
HU-23-EX1-OT1-MBTR_A_MP	 2338	 18606	 14058.60	 34.49	 38.52	 37.84	 0.00
HU-23-EX1-OT1-MBTR_A_NA_N1	 942	 10650	 7925.94	 35.00	 38.64	 37.95	 0.00
HU-23-EX1-OT1-MBTR_A_NP	 845	 7720	 6144.73	 30.25	 38.60	 37.67	 0.00
HU-23-EX1-OT1-MBTR_A_NS	 2988	 17830	 13867.80	 30.89	 38.50	 37.22	 0.00
HU-23-EX1-OT1-MBTR_A_PA	 812	 3361	 2551.20	 34.72	 38.69	 37.99	 0.00
HU-23-EX1-OT1-MBTR_A_PB1	 144	 859	 624.79	 35.21	 38.76	 38.05	 0.00
HU-23-EX1-OT1-MBTR_A_PB2	 691	 3427	 2707.16	 35.08	 38.63	 37.97	 0.00
HU-23-EX1-OT2-UNI_A_HA_H1	 743	 7789	 5392.32	 34.10	 38.57	 37.58	 0.00
HU-23-EX1-OT2-UNI_A_MP	 3390	 29604	 22416.80	 33.92	 38.42	 37.64	 0.00
HU-23-EX1-OT2-UNI_A_NA_N1	 942	 10888	 8086.89	 34.14	 38.53	 37.47	 0.00
HU-23-EX1-OT2-UNI_A_NP	 1902	 20850	 16919.70	 29.70	 38.49	 37.50	 0.00
HU-23-EX1-OT2-UNI_A_NS	 3020	 20805	 15942.20	 30.44	 38.41	 36.64	 0.00
HU-23-EX1-OT2-UNI_A_PA	 2042	 13729	 10269.10	 34.38	 38.60	 37.86	 0.00
HU-23-EX1-OT2-UNI_A_PB1	 139	 922	 656.26	 34.31	 38.55	 37.59	 0.00
HU-23-EX1-OT2-UNI_A_PB2	 1125	 6992	 5380.91	 34.37	 38.48	 37.70	 0.00
HU-23-EX1-OT3-MBTA_A_HA_H1	 146	 3685	 2168.79	 33.16	 38.49	 37.15	 0.00
HU-23-EX1-OT3-MBTA_A_MP	 1781	 17945	 13391.30	 32.95	 38.22	 37.22	 0.00
HU-23-EX1-OT3-MBTA_A_NA_N1	 164	 2608	 1864.99	 34.53	 38.27	 37.15	 0.00
HU-23-EX1-OT3-MBTA_A_NP	 1192	 13928	 11436.80	 28.64	 38.31	 36.82	 0.00
HU-23-EX1-OT3-MBTA_A_NS	 1340	 8593	 6471.57	 31.27	 38.04	 36.45	 0.00
