Sample	Method	passing_segments
HU-22	EX1-OT1-MBTR	8
HU-22	EX1-OT2-UNI	8
HU-22	EX1-OT3-MBTA	7
HU-23	EX1-OT1-MBTR	8
HU-23	EX1-OT2-UNI	8
HU-23	EX1-OT3-MBTA	7
HU-24	EX1-OT1-MBTR	6
HU-24	EX1-OT2-UNI	7
HU-24	EX1-OT3-MBTA	7
HU-25	EX1-OT1-MBTR	8
HU-25	EX1-OT2-UNI	8
HU-25	EX1-OT3-MBTA	8
HU-26	EX1-OT1-MBTR	8
HU-26	EX1-OT2-UNI	8
HU-26	EX1-OT3-MBTA	5
HU-27	EX1-OT1-MBTR	8
HU-27	EX1-OT2-UNI	8
HU-27	EX1-OT3-MBTA	7
HU-28	EX1-OT1-MBTR	7
HU-28	EX1-OT2-UNI	7
HU-28	EX1-OT3-MBTA	5
HU-29	EX1-OT1-MBTR	8
HU-29	EX1-OT2-UNI	8
HU-29	EX1-OT3-MBTA	6
HU-30	EX1-OT1-MBTR	7
HU-30	EX1-OT2-UNI	8
HU-30	EX1-OT3-MBTA	1
SW-m1	EX1	4
SW-m1	EX2	8
SW-m2	EX1	3
SW-m2	EX2	8
SW-s	EX1	8
SW-s	EX2	8
SW-w	EX1	0
SW-w	EX2	8
HU-m	EX1	0
HU-m	EX2	2
HU-s	EX1	6
HU-s	EX2	6
HU-w	EX2	1
AV-m	EX1	1
AV-m	EX2	8
AV-s	EX1	8
AV-s	EX2	8
AV-w	EX1	1
AV-w	EX2	1
HU-1	EX1-OT1-MBT	8
HU-1	EX1-OT1-UNI	5
HU-1	EX1-OT2-MBT	6
HU-1	EX1-OT2-UNI	6
HU-1	EX2-OT1-MBT	8
HU-1	EX2-OT1-UNI	8
HU-1	EX2-OT2-MBT	7
HU-1	EX2-OT2-UNI	8
HU-2	EX1-OT1-MBT	8
HU-2	EX1-OT1-UNI	8
HU-2	EX1-OT2-MBT	8
HU-2	EX1-OT2-UNI	8
HU-2	EX2-OT1-MBT	8
HU-2	EX2-OT1-UNI	8
HU-2	EX2-OT2-MBT	8
HU-2	EX2-OT2-UNI	8
HU-3	EX1-OT1-MBT	3
HU-3	EX1-OT1-UNI	8
HU-3	EX1-OT2-MBT	8
HU-3	EX1-OT2-UNI	7
HU-3	EX2-OT1-MBT	6
HU-3	EX2-OT1-UNI	8
HU-3	EX2-OT2-MBT	8
HU-3	EX2-OT2-UNI	8
AV-1	EX1-OT1-MBT	7
AV-1	EX1-OT1-UNI	8
AV-1	EX1-OT2-MBT	8
AV-1	EX1-OT2-UNI	8
AV-1	EX2-OT1-MBT	8
AV-1	EX2-OT1-UNI	3
AV-1	EX2-OT2-MBT	8
AV-1	EX2-OT2-UNI	8
AV-2	EX1-OT1-MBT	5
AV-2	EX1-OT1-UNI	5
AV-2	EX1-OT2-MBT	5
AV-2	EX1-OT2-UNI	5
AV-2	EX2-OT1-MBT	0
AV-2	EX2-OT1-UNI	3
AV-2	EX2-OT2-MBT	2
AV-2	EX2-OT2-UNI	0
AV-3	EX1-OT1-MBT	8
AV-3	EX1-OT1-UNI	8
AV-3	EX1-OT2-MBT	4
AV-3	EX1-OT2-UNI	8
AV-3	EX2-OT1-MBT	8
AV-3	EX2-OT1-UNI	6
AV-3	EX2-OT2-MBT	8
AV-3	EX2-OT2-UNI	8
SW-1	EX1-OT1-MBT	3
SW-1	EX1-OT1-UNI	3
SW-1	EX1-OT2-MBT	4
SW-1	EX1-OT2-UNI	8
SW-1	EX2-OT1-MBT	3
SW-1	EX2-OT1-UNI	8
SW-1	EX2-OT2-MBT	8
SW-1	EX2-OT2-UNI	7
SW-2	EX1-OT1-MBT	7
SW-2	EX1-OT1-UNI	8
SW-2	EX1-OT2-MBT	3
SW-2	EX1-OT2-UNI	8
SW-2	EX2-OT1-MBT	8
SW-2	EX2-OT1-UNI	8
SW-2	EX2-OT2-MBT	8
SW-2	EX2-OT2-UNI	7
SW-3	EX1-OT1-MBT	7
SW-3	EX1-OT1-UNI	8
SW-3	EX1-OT2-MBT	1
SW-3	EX1-OT2-UNI	1
SW-3	EX2-OT1-MBT	7
SW-3	EX2-OT1-UNI	8
SW-3	EX2-OT2-MBT	7
SW-3	EX2-OT2-UNI	8
HU-4	EX2-OT1-MBT	8
HU-4	EX2-OT1-UNI	8
HU-4	EX2-OT2-MBT	7
HU-4	EX2-OT2-UNI	7
HU-5	EX2-OT1-MBT	8
HU-5	EX2-OT1-UNI	8
HU-5	EX2-OT2-MBT	8
HU-5	EX2-OT2-UNI	8
HU-6	EX2-OT1-MBT	8
HU-6	EX2-OT1-UNI	8
HU-6	EX2-OT2-MBT	8
HU-6	EX2-OT2-UNI	8
HU-7	EX2-OT1-MBT	8
HU-7	EX2-OT1-UNI	8
HU-7	EX2-OT2-MBT	8
HU-7	EX2-OT2-UNI	7
HU-8	EX2-OT1-MBT	8
HU-8	EX2-OT1-UNI	8
HU-8	EX2-OT2-MBT	6
HU-8	EX2-OT2-UNI	8
AV-10	EX2-OT1-MBT	8
AV-10	EX2-OT1-UNI	8
AV-10	EX2-OT2-MBT	5
AV-10	EX2-OT2-UNI	6
AV-11	EX2-OT1-MBT	8
AV-11	EX2-OT1-UNI	8
AV-11	EX2-OT2-MBT	8
AV-11	EX2-OT2-UNI	8
AV-12	EX2-OT1-MBT	6
AV-12	EX2-OT1-UNI	3
AV-12	EX2-OT2-MBT	0
AV-12	EX2-OT2-UNI	1
AV-13	EX2-OT1-MBT	7
AV-13	EX2-OT1-UNI	1
AV-13	EX2-OT2-MBT	1
AV-13	EX2-OT2-UNI	1
AV-4	EX2-OT1-MBT	5
AV-4	EX2-OT1-UNI	5
AV-4	EX2-OT2-MBT	1
AV-4	EX2-OT2-UNI	4
AV-5	EX2-OT1-MBT	4
AV-5	EX2-OT1-UNI	2
AV-5	EX2-OT2-MBT	0
AV-5	EX2-OT2-UNI	0
AV-6	EX2-OT1-MBT	8
AV-6	EX2-OT1-UNI	8
AV-6	EX2-OT2-MBT	8
AV-6	EX2-OT2-UNI	8
AV-7	EX2-OT1-MBT	8
AV-7	EX2-OT1-UNI	8
AV-7	EX2-OT2-MBT	8
AV-7	EX2-OT2-UNI	8
AV-8	EX2-OT1-MBT	8
AV-8	EX2-OT1-UNI	1
AV-8	EX2-OT2-MBT	3
AV-8	EX2-OT2-UNI	5
AV-9	EX2-OT1-MBT	4
AV-9	EX2-OT1-UNI	1
AV-9	EX2-OT2-MBT	0
AV-9	EX2-OT2-UNI	0
HU-10	EX2-OT1-MBT	8
HU-10	EX2-OT1-UNI	8
HU-10	EX2-OT2-MBT	8
HU-10	EX2-OT2-UNI	8
HU-11	EX2-OT1-MBT	8
HU-11	EX2-OT1-UNI	7
HU-11	EX2-OT2-MBT	8
HU-11	EX2-OT2-UNI	8
HU-12	EX2-OT1-MBT	8
HU-12	EX2-OT1-UNI	8
HU-12	EX2-OT2-MBT	8
HU-12	EX2-OT2-UNI	8
HU-13	EX2-OT1-MBT	7
HU-13	EX2-OT1-UNI	7
HU-13	EX2-OT2-MBT	7
HU-13	EX2-OT2-UNI	7
HU-9	EX2-OT1-MBT	7
HU-9	EX2-OT1-UNI	8
HU-9	EX2-OT2-MBT	8
HU-9	EX2-OT2-UNI	8
SW-10	EX2-OT1-MBT	8
SW-10	EX2-OT1-UNI	8
SW-10	EX2-OT2-MBT	8
SW-10	EX2-OT2-UNI	5
SW-11	EX2-OT1-MBT	8
SW-11	EX2-OT1-UNI	0
SW-11	EX2-OT2-MBT	1
SW-11	EX2-OT2-UNI	8
SW-12	EX2-OT1-MBT	0
SW-12	EX2-OT1-UNI	4
SW-12	EX2-OT2-MBT	0
SW-12	EX2-OT2-UNI	0
SW-13	EX2-OT1-MBT	6
SW-13	EX2-OT1-UNI	4
SW-13	EX2-OT2-MBT	0
SW-13	EX2-OT2-UNI	0
SW-4	EX2-OT1-MBT	7
SW-4	EX2-OT1-UNI	7
SW-4	EX2-OT2-MBT	8
SW-4	EX2-OT2-UNI	8
SW-5	EX2-OT1-MBT	8
SW-5	EX2-OT1-UNI	8
SW-5	EX2-OT2-MBT	7
SW-5	EX2-OT2-UNI	8
SW-6	EX2-OT1-MBT	8
SW-6	EX2-OT1-UNI	8
SW-6	EX2-OT2-MBT	5
SW-6	EX2-OT2-UNI	7
SW-7	EX2-OT1-MBT	4
SW-7	EX2-OT1-UNI	8
SW-7	EX2-OT2-MBT	8
SW-7	EX2-OT2-UNI	4
SW-8	EX2-OT1-MBT	8
SW-8	EX2-OT1-UNI	8
SW-8	EX2-OT2-MBT	8
SW-8	EX2-OT2-UNI	8
SW-9	EX2-OT1-MBT	8
SW-9	EX2-OT1-UNI	8
SW-9	EX2-OT2-MBT	8
SW-9	EX2-OT2-UNI	8
SW-18	EX1-OT1-MBT	7
SW-18	EX1-OT1-MBT2	7
SW-18	EX1-OT1-UNI	7
SW-18	EX1-OT2-MBT	1
SW-18	EX1-OT2-UNI	6
SW-18	EX2-OT1-MBT	6
SW-18	EX2-OT1-MBT2	8
SW-18	EX2-OT1-UNI	8
SW-18	EX2-OT2-MBT	7
SW-18	EX2-OT2-UNI	8
SW-19	EX1-OT1-MBT	0
SW-19	EX1-OT1-MBT2	0
SW-19	EX1-OT1-UNI	3
SW-19	EX1-OT2-MBT	0
SW-19	EX1-OT2-UNI	0
SW-19	EX2-OT1-MBT	2
SW-19	EX2-OT1-MBT2	0
SW-19	EX2-OT1-UNI	3
SW-19	EX2-OT2-MBT	0
SW-19	EX2-OT2-UNI	0
SW-20	EX1-OT1-MBT	1
SW-20	EX1-OT1-MBT2	1
SW-20	EX1-OT1-UNI	1
